date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:18:16	1491/1491	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Aug%202024%2018:18:15%20GMT	https://anvogue-html.vercel.app/robots.txt		(from )
21:18:16	228867/228867	---MCZ	200	added ('OK')	text/html	etag:W/%2250aa1570ab7c9bb8847250523591bb56%22	https://anvogue-html.vercel.app/?storefront=envato-elements	C:/Users/Orange/Desktop/master/anvogue-html.vercel.app/index04b9.html	(from )
21:18:17	3611/3611	---M--	200	added ('OK')	image/png	etag:%22f8c49806d4f915d905c78f62f96e4a18%22	https://anvogue-html.vercel.app/assets/images/fav.png	C:/Users/Orange/Desktop/master/anvogue-html.vercel.app/assets/images/fav.png	(from https://anvogue-html.vercel.app/?storefront=envato-elements)
21:18:17	18436/18436	---MCZ	200	added ('OK')	text/css	etag:W/%2254c9fa7d1d3b428ed62e26d09289d15a%22	https://anvogue-html.vercel.app/assets/css/swiper-bundle.min.css	C:/Users/Orange/Desktop/master/anvogue-html.vercel.app/assets/css/swiper-bundle.min.css	(from https://anvogue-html.vercel.app/?storefront=envato-elements)
21:18:18	88/88	---M--	200	added ('OK')	text/css	etag:%22d6abd12cda944b4fa2dd05580bafffc9%22	https://anvogue-html.vercel.app/assets/css/style.css	C:/Users/Orange/Desktop/master/anvogue-html.vercel.app/assets/css/style.css	(from https://anvogue-html.vercel.app/?storefront=envato-elements)
21:18:18	128120/128120	---MCZ	200	added ('OK')	text/css	etag:W/%229c4002bbe8b1270905184f8cd1055db4%22	https://anvogue-html.vercel.app/dist/output-scss.css	C:/Users/Orange/Desktop/master/anvogue-html.vercel.app/dist/output-scss.css	(from https://anvogue-html.vercel.app/?storefront=envato-elements)
21:18:19	61765/61765	---MCZ	200	added ('OK')	text/css	etag:W/%22035758459e6ae7e73b9c0e0358fe7762%22	https://anvogue-html.vercel.app/dist/output-tailwind.css	C:/Users/Orange/Desktop/master/anvogue-html.vercel.app/dist/output-tailwind.css	(from https://anvogue-html.vercel.app/?storefront=envato-elements)
21:18:20	228867/228867	---MCZ	200	added ('OK')	text/html	etag:W/%2250aa1570ab7c9bb8847250523591bb56%22	https://anvogue-html.vercel.app/index.html	C:/Users/Orange/Desktop/master/anvogue-html.vercel.app/index-2.html	(from https://anvogue-html.vercel.app/?storefront=envato-elements)
21:18:20	228867/228867	---MCZ	200	added ('OK')	text/html	etag:W/%2250aa1570ab7c9bb8847250523591bb56%22	https://anvogue-html.vercel.app/	C:/Users/Orange/Desktop/master/anvogue-html.vercel.app/index.html	(from https://anvogue-html.vercel.app/?storefront=envato-elements)
21:18:20	240962/240962	---MCZ	200	added ('OK')	text/html	etag:W/%2216b66472aef1eba40e27b8d294640aaa%22	https://anvogue-html.vercel.app/fashion2.html	C:/Users/Orange/Desktop/master/anvogue-html.vercel.app/fashion2.html	(from https://anvogue-html.vercel.app/?storefront=envato-elements)
21:18:21	246427/246427	---MCZ	200	added ('OK')	text/html	etag:W/%22f78adb8c184ce9afacf02b985da0bb58%22	https://anvogue-html.vercel.app/fashion3.html	C:/Users/Orange/Desktop/master/anvogue-html.vercel.app/fashion3.html	(from https://anvogue-html.vercel.app/?storefront=envato-elements)
